 `pub_row_index`, `pub_id`, `pub_citation`, `pub_title`, `pub_type`, `pub_link`, `pub_year`, `cohort_year`, `contributor_fids`, `pub_display`,,,,,,,,,,,,
11, 'pub_00011',Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.,Ut in elit lobortis turpis cursus tristique eu in velit.,Vivamus condimentum eros convallis est vehicula placerat.
12, 'pub_00012',Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.,Ut in enim eget risus mollis maximus vitae id dolor.,Ut id libero vel diam consequat mollis.
13, 'pub_00013',Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl.",Phasellus maximus sapien mattis sapien porta placerat.,"Nam vel lacus egestas, accumsan lacus at, porttitor nisl."
14, 'pub_00014',"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.,"Cras rhoncus odio non enim eleifend, vel tempor ante feugiat.",Etiam vulputate ante consectetur ullamcorper molestie.
15, 'pub_00015',Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.,Ut feugiat purus vel nisl vehicula feugiat.,Proin quis nisl id ante convallis hendrerit in in enim.
16, 'pub_00016',Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis.",Donec eget odio sit amet ligula maximus rhoncus ac quis ante.,"Aliquam a nulla suscipit, scelerisque odio nec, dapibus turpis."
17, 'pub_00017',"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.,"Cras posuere odio sed felis tristique, interdum egestas quam dictum.",Suspendisse iaculis risus in tincidunt dignissim.
18, 'pub_00018',Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod.",Sed pharetra nisi a pulvinar pretium.,"Morbi venenatis turpis a diam volutpat, in elementum mauris euismod."
19, 'pub_00019',Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.,Ut at sapien gravida lacus consectetur scelerisque.,Vivamus sagittis neque id dolor egestas malesuada.
20, 'pub_00020',"Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper.","Suspendisse vitae sem dignissim, porta velit id, dapibus enim.","Quisque aliquam dolor at dolor sollicitudin, sed pretium diam semper."
21, 'pub_00021',"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.,"Sed blandit ipsum eget dui ullamcorper, nec auctor ex posuere.",Quisque et massa id elit efficitur dignissim.
22, 'pub_00022',Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend.",Phasellus vitae urna id mauris rutrum aliquam fermentum sed nibh.,"Suspendisse consectetur ante non dui volutpat, efficitur mollis mauris eleifend."
23, 'pub_00023',Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.,Ut in quam vitae tortor rutrum tempor eu nec lacus.,Sed cursus magna ac ipsum dapibus vulputate.
24, 'pub_00024',"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.,"Maecenas gravida quam vel est venenatis, et venenatis dolor mollis.",Phasellus in nunc vel neque sagittis ultrices ac non odio.
