`i_row_index`, `i_id`, `i_name`, `i_dc_host_status`, `i_lat`, `i_lon`
65,'i_0065','Georgia Institute of Technology',N, '0.0', '0.0'
66,'i_0066','Bryn Mawr College',Y, '0.0', '0.0'
67,'i_0067','Wellesley College',Y, '0.0', '0.0'
68,'i_0068','Virginia Military Institute',N, '0.0', '0.0'
69,'i_0069','Swarthmore College',N, '0.0', '0.0'
70,'i_0070','DePauw University',Y, '0.0', '0.0'
71,'i_0071','Cornell University',Y, '0.0', '0.0'
72,'i_0072','Reed College',Y, '0.0', '0.0'
73,'i_0073','University of Pennsylvania',N, '0.0', '0.0'
74,'i_0074','University of Richmond',N, '0.0', '0.0'
75,'i_0075','University of Southern California',N, '0.0', '0.0'
76,'i_0076','Washington and Lee University',Y, '0.0', '0.0'
77,'i_0077','Lehigh University',Y, '0.0', '0.0'
78,'i_0078','United States Air Force Academy',Y, '0.0', '0.0'
79,'i_0079','Colgate University',Y, '0.0', '0.0'
80,'i_0080','Bowdoin College',N, '0.0', '0.0'
81,'i_0081','Pomona College',Y, '0.0', '0.0'
82,'i_0082','Brown University',Y, '0.0', '0.0'
83,'i_0083','Vassar College',N, '0.0', '0.0'
84,'i_0084',"'Pennsylvania State University, University Park'",Y, '0.0', '0.0'
85,'i_0085','Union College',Y, '0.0', '0.0'
86,'i_0086',"'University of California, Santa Barbara'",N, '0.0', '0.0'
87,'i_0087','University of Rochester',Y, '0.0', '0.0'
88,'i_0088','United States Military Academy',Y, '0.0', '0.0'
89,'i_0089','Mount Holyoke College',Y, '0.0', '0.0'
90,'i_0090',"'University of North Carolina, Chapel Hill'",Y, '0.0', '0.0'
91,'i_0091','Kenyon College',N, '0.0', '0.0'
92,'i_0092','Macalester College',N, '0.0', '0.0'
93,'i_0093','Massachusetts Institute of Technology',N, '0.0', '0.0'
94,'i_0094','Brandeis University',Y, '0.0', '0.0'
95,'i_0095','Wake Forest University',N, '0.0', '0.0'
96,'i_0096','Cooper Union',N, '0.0', '0.0'
97,'i_0097','Tufts University',N, '0.0', '0.0'
98,'i_0098','Colorado College',Y, '0.0', '0.0'
99,'i_0099','Santa Clara University',Y, '0.0', '0.0'
100,'i_0100','University of Chicago',N, '0.0', '0.0'
